,username,text,date,is-retweet,likes,retweets,comments
63,Crypto Rover,".@wardenprotocol is bringing the heat with YieldWard! 💥 That $WARP burn is crazy, and with the FDV now at $1.4M, it's time to stock up on $WARP via Fjord! Don't miss out guys!🚀",05/01/2024 04:59 PM,False,212,37,53
64,Crypto Rover,Everyone is shorting #Bitcoin   This makes me very bullish!,05/01/2024 04:58 PM,False,743,94,119
65,Crypto Rover,#Bitcoin is breaking downwards of the bull flag pattern! 🚨,05/01/2024 04:17 PM,False,1102,140,274
66,Crypto Rover,"I am currently long on #Bitcoin with $900,000.  Am I a genius or stupid?",05/01/2024 03:37 PM,False,2178,170,918
67,Crypto Rover,#FREECZ,05/01/2024 02:55 PM,False,436,65,88
68,Crypto Rover,"So, was this it?  Is the #Bitcoin bull market over now?...",05/01/2024 02:26 PM,False,3115,199,566
69,Crypto Rover,The Hong Kong Spot #Bitcoin ETF bought $183 million yesterday!,05/01/2024 01:52 PM,False,827,81,100
70,Crypto Rover,The #Bitcoin super trend is at a CRITICAL turning point.,05/01/2024 01:10 PM,False,574,57,105
71,Crypto Rover,Is #Bitcoin ETF history repeating again?,05/01/2024 12:36 PM,False,841,115,118
72,Crypto Rover,#BITCOIN FUNDING RATES ARE SO EXTREMELY NEGATIVE!!!,05/01/2024 12:33 PM,False,364,44,66
73,Crypto Rover,"I just bought $1,000 worth of $NIPPY!  @NippyOnBase",05/01/2024 12:00 PM,False,288,54,76
74,Crypto Rover,"$CATMAN is bottomed.  While most people are panicking, I am loading up.  Don't fade it.",05/01/2024 11:33 AM,False,317,51,103
75,Crypto Rover,"More than $416,190,000 worth of #Bitcoin Long orders got liquidated in the past 24 hours!",05/01/2024 11:24 AM,False,372,50,77
76,Crypto Rover,Any 20-23% correction in this #Bitcoin bull market is a gift.,05/01/2024 10:45 AM,False,1439,250,201
77,Crypto Rover,"If #Bitcoin doesn't hold this support, $52k is next.",05/01/2024 10:09 AM,False,561,62,115
78,Crypto Rover,"$DYP is one of the altcoins I am loading up the most on in this recent dip.  It is back to my accumulation zone, and I am taking advantage of this fire sale.  Please do know @dypius is going through a migration now. So if you want to buy $DYP v2, it is available on KuCoin, Gate, MEXC, or Coinbase wallet if you are a DEX fan.",05/01/2024 09:50 AM,False,217,53,57
79,Crypto Rover,"#Bitcoin took out ALL the LIQUIDITY, NEXT is the pump back to $70k.",05/01/2024 09:43 AM,False,960,115,161
80,Crypto Rover,"Claim a $200 #Bitcoin or #Ethereum Trade on Bybit!  How to claim: • Sign up a new account using the link below • Deposit $100 within 7 days • Open up your free trade  🔸 Link: https://bybit.com/en/airdrop-activity-new?campaign_id=7717&affiliate_id=16210  + You are also eligible for a $40,000 deposit bonus using this link.",05/01/2024 09:08 AM,False,128,15,90
81,Crypto Rover,"In 26 days, the Spot #Ethereum ETF final deadline is here.",05/01/2024 08:44 AM,False,371,52,72
82,Crypto Rover,"I longed #Bitcoin   I bought over $900,000 so far.  If it hits $56k, I’m going to buy even more.  The bottom is in or close now, send it higher.",05/01/2024 08:37 AM,False,1274,138,192
83,Crypto Rover,The weekly #Bitcoin MACD is crossing bearish!  Should we be worried? 😳,05/01/2024 08:07 AM,False,491,42,148
84,Crypto Rover,What sauce is this?  #Bitcoin keeps on dipping,05/01/2024 07:55 AM,False,830,88,325
85,Crypto Rover,Do you think CZ deserves 4 months in prison?  I don't think he deserves it.,05/01/2024 07:44 AM,False,440,44,173
86,Crypto Rover,This will be the largest trap #Bitcoin has ever created.,05/01/2024 07:26 AM,False,692,53,137
87,Crypto Rover,HOLY SHIT!! WHO THE F KEEPS SELLING #BITCOIN???,05/01/2024 07:10 AM,False,917,87,291
88,Crypto Rover,"This is the next #Bitcoin move, are you ready?",05/01/2024 06:37 AM,False,1012,133,159
89,Crypto Rover,"In the last 5 trading days we've seen more than $635,00,000 worth of outflow from the Spot #Bitcoin ETF!",05/01/2024 06:05 AM,False,355,37,97
90,Crypto Rover,"#BITCOIN IS BELOW $60,000 😱",05/01/2024 05:49 AM,False,627,71,229
91,Crypto Rover,20% correction are the standard of this #Bitcoin bull market.  Don't get fooled.,05/01/2024 05:36 AM,False,788,94,116
92,Crypto Rover,THERE IS A HUGE #BITCOIN SIGNAL FLASHING!!!  Watch my pinned tweet now to find out!,05/01/2024 05:19 AM,False,630,40,150
93,Crypto Rover,#BITCOIN: WARNING SIGNAL FLASHING!!!!!  Watch ASAP:👇 https://piped.video/-TmWSDA6AL4,05/01/2024 05:08 AM,False,242,35,143
94,Crypto Rover,The #Bitcoin sentiment is so bad.   Literally everyone is bearish now.   This is why I am opening up a $1m $BTC long trade.,04/30/2024 07:59 PM,False,2113,153,414
95,Crypto Rover,The #Bitcoin Weekly MACD is crossing bearish! 😳,04/30/2024 07:19 PM,False,1001,128,271
96,Crypto Rover,BlackRock has bought zero #Bitcoin for the last 4 trading days now.  When will this streak end?,04/30/2024 06:44 PM,False,555,65,103
97,Crypto Rover,There is a very big chance that CZ has to face prison time.  I stand with CZ.  I don't believe he is a bad actor.,04/30/2024 06:08 PM,False,1061,104,267
98,Crypto Rover,The Hong Kong Spot #Bitcoin ETFs are live.  More and more adoption is slowing getting created!,04/30/2024 05:28 PM,False,634,59,112
99,Crypto Rover,I am most bullish on #Altcoins with the following narratives:  • Ai • DePIN • BRC20 • Memecoins • Gaming,04/30/2024 05:02 PM,False,664,70,220
100,Crypto Rover,This #Bitcoin is dump looks like its never ending,04/30/2024 04:34 PM,False,1407,145,430
101,Crypto Rover,"Once #Bitcoin breaks this MASSIVE weekly resistance, the bull market will really start...",04/30/2024 04:26 PM,False,1288,162,216
102,Crypto Rover,IT'S $NIPPY LAUNCH DAY!🚀  I will buy a bag.  The hype around it is insane.  Don't miss out,04/30/2024 04:01 PM,False,259,36,64
103,Crypto Rover,Negative funding rates on #Bitcoin always mark the bottom.  Funding rates are negative right now.  Don't get trapped.,04/30/2024 03:43 PM,False,637,70,96
104,Crypto Rover,This #Bitcoin falling wedge pattern is still in play!,04/30/2024 03:03 PM,False,478,44,66
105,Crypto Rover,"Most losers will get trapped here.  $59k #Bitcoin first, then $70k.",04/30/2024 02:40 PM,False,874,99,223
106,Crypto Rover,"Here is what is about to happen next.  #Bitcoin will take out all the liquidity on the lower side, once we did so, we will push up higher extremely fast the grab all the short liquidations.  I have setup more than $1m in buy orders between $58,000-$60,000 to catch this next leg.",04/30/2024 02:29 PM,False,629,76,96
107,Crypto Rover,ALMOST,04/30/2024 02:21 PM,False,167,14,21
108,Crypto Rover,"I've setup more than $1m worth of #Bitcoin buy orders at $58,000-$60,000.",04/30/2024 02:14 PM,False,449,42,122
109,Crypto Rover,Can #Bitcoin just stop dumping?,04/30/2024 02:07 PM,False,929,75,271
110,Crypto Rover,The real gains on #Altcoins are still yet to come.,04/30/2024 01:49 PM,False,485,71,187
111,Crypto Rover,I dropped $1k to support CZ 🙏  Transaction hash: 0xa76a3da4d59e121bca80b232c552f3a432bc61ac806b315b1b1d19d989b831f4,04/30/2024 01:31 PM,False,207,36,86
112,Crypto Rover,"Micheal Saylor's MicroStrategies now holds 214,400 $BTC",04/30/2024 01:09 PM,False,368,39,74
113,Crypto Rover,"Whenever this #Bitcoin bull flag pattern breaks out, the real bull market will start.",04/30/2024 12:28 PM,False,1115,159,203
114,Crypto Rover,"#BITCOIN KEEPS DUMPING!!!  Once we hit $60,000 I will start opening my massive $BTC LONG TRADE! 🚀",04/30/2024 11:59 AM,False,761,98,176
115,Crypto Rover,They are saying that the Hong Kong Spot #Bitcoin ETF is a ''sell the news'' event.  Just like the US Spot #Bitcoin ETF also was ''sell the news''?,04/30/2024 11:51 AM,False,471,44,151
116,Crypto Rover,I will open a $1m #Bitcoin long position if we hit the orange box!,04/30/2024 11:23 AM,False,415,54,202
117,Crypto Rover,"In 26 days, the Spot #Ethereum ETF final deadline is here.  Are your bags prepared?",04/30/2024 10:53 AM,False,380,48,81
118,Crypto Rover,The next #Bitcoin move is so close now...,04/30/2024 10:19 AM,False,1645,311,269
119,Crypto Rover,"Claim a $200 #Bitcoin or #Ethereum Trade on Bybit!  How to claim: • Sign up a new account using the link below • Deposit $100 within 7 days • Open up your free trade  🔸 Link: https://bybit.com/en/airdrop-activity-new?campaign_id=7717&affiliate_id=16210  + You are also eligible for a $40,000 deposit bonus using this link.",04/30/2024 09:53 AM,False,136,18,82
120,Crypto Rover,"There will be more than $8 billion dollars in #Bitcoin Short liquidations once $BTC pushes above $71,400.",04/30/2024 09:21 AM,False,518,82,97
121,Crypto Rover,WHO THE F KEEPS SELLING #BITCOIN???,04/30/2024 08:49 AM,False,4012,456,1369
122,Crypto Rover,#Bitcoin is breaking below the daily EMA Ribbon!  Should we be worried?,04/30/2024 08:42 AM,False,395,55,146
123,Crypto Rover,"The biggest anticipated feature release in the history of $TABOO is coming.  The new Live-Streaming feature is almost ready for RELEASE, and with this new release, @taboo_io will commit a 7-FIGURE marketing campaign which will most likely catapult the price already higher!  The Marketing campaign will help target the $30m + loyal fanbase reach of the partnered models, collectively.  Don't miss out on $TABOO, this thing is ready to explode.  It is also still in my accumulation zone, so I expect it will likely bounce extremely hard from here.  You can trade it on #MEXC & @gate_io",04/30/2024 08:33 AM,False,215,56,77
124,Crypto Rover,The Hong Kong spot #Bitcoin ETFs started trading today.   The next bull market catalyst is here.  Are you ready?,04/30/2024 08:03 AM,False,640,85,202
125,Crypto Rover,"There is going to be a $2.3b #Bitcoin short liquidations once $BTC hits $67,300!",04/30/2024 07:32 AM,False,711,105,153
126,Crypto Rover,"This #Bitcoin Falling Wedge breakout target is $73,000 🚀",04/30/2024 06:57 AM,False,758,107,195
127,Crypto Rover,The next #Bitcoin breakout is closer than most people think...  All my reasons are discussed in my pinned tweet.,04/30/2024 06:18 AM,False,522,58,278
128,Crypto Rover,THE NEXT #BITCOIN BREAKOUT IS HERE...  Watch within 24 hours: 👇👇 https://piped.video/YEhL-OE8tm0,04/30/2024 05:59 AM,False,340,65,116
129,Crypto Rover,#Bitcoin is still getting rejected by this most important falling wedge pattern! 💥👇,04/30/2024 05:07 AM,False,516,57,190
130,Crypto Rover,"Been seeing @Edu3Labs more and more in my circle, this project is doing web3, education and AI the right way.  Learn2Earn with $NFE 👇  1. AI Education Hub Partnered with many universities including Harvard 2. Airdrop farming tool 3. AI University, personalized learning platform",04/29/2024 07:59 PM,False,229,49,192
131,Crypto Rover,"Memecoin market cap is only $50b now.  Last cycle, $DOGE was already worth over $80b.  We are still so early...",04/29/2024 07:57 PM,False,480,108,194
132,Crypto Rover,Most likely we are not going see any rate cuts till late 2024.,04/29/2024 07:24 PM,False,287,56,136
133,Crypto Rover,Should we be worried about this #Bitcoin weekly bearish MACD Cross?,04/29/2024 06:46 PM,False,459,71,166
134,Crypto Rover,The #Bitcoin transaction fees are back to normal! 🤝,04/29/2024 06:06 PM,False,920,134,105
135,Crypto Rover,"The price of $BDROP is compressing hard and is about to have a massive breakout here!  I bought some here, out of expectation of a big breakout any time soon.  Send it higher 🚀",04/29/2024 06:02 PM,False,229,48,59
136,Crypto Rover,What is the next #crypto that is doing this? 👇,04/29/2024 05:31 PM,False,917,165,1088
137,Crypto Rover,#Bitcoin mining revenue is dropping significantly!,04/29/2024 04:58 PM,False,636,79,119
138,Crypto Rover,This is just the first out of many airdrops for $WUF holders 🚀,04/29/2024 04:46 PM,False,372,87,84
139,Crypto Rover,"I've set more than $1,000,000 worth of #Bitcoin buy orders at $60,000-$58,000.  Is this smart or stupid?",04/29/2024 04:26 PM,False,497,56,174
140,Crypto Rover,"If #Bitcoin goes to $70k, we will see more than $8,300,000,000 worth of $BTC Short Liquidations!  SEND IT  🚀",04/29/2024 03:50 PM,False,1919,304,177
141,Crypto Rover,This #Bitcoin bull market is only just getting started...,04/29/2024 03:24 PM,False,775,95,142
142,Crypto Rover,"$RFKJ is a memecoin that stands out of all the other ones.  It is pushing up to new ATHs while the market and most other memes are down.  PolitiFi is hot topic, and with the US elections coming later this year I am expecting to see this thing pick up even more momentum!  Kennedy is also being the most pro-crypto candidate and showing signs of gaining more steam every day!🚀",04/29/2024 03:08 PM,False,318,73,84
143,Crypto Rover,#BITCOIN IS BOUNCING BACK 🚀,04/29/2024 02:35 PM,False,1754,242,308
144,Crypto Rover,$WARP LBP will go live on 30.04.24  Opportunity to be exposed to Warden before anyone else ⚡️,04/29/2024 02:29 PM,False,182,45,58
145,Crypto Rover,"There is some HUGE news for $HUND!  In about 2 weeks #HundPad will launch!  This is the native launchpad from @HundOnSol it will enable SLP creation and more.  Also, in Q2 2024, we will also the first #Hund NFT collection which will give holders more utilities in the ecosystem.  The $HUND team has also built a #DEX which is working nicely!  The team is putting in some incredible work, and with the price compressing and still in my accumulation zone, you can't miss out on it! 🚀",04/29/2024 02:17 PM,False,345,118,147
146,Crypto Rover,Should we worry about this #Bitcoin breakdown?,04/29/2024 02:07 PM,False,466,65,221
147,Crypto Rover,I want to invest it all in one undervalued #Altcoin.  What should I buy?,04/29/2024 01:41 PM,False,1536,213,2217
148,Crypto Rover,#Bitcoin is breaking the daily EMA Ribbon!  Should we be worried?,04/29/2024 01:04 PM,False,777,107,227
149,Crypto Rover,"I just bought a new car which makes my life super efficient, and will give me more time to work.  Should I reveal what I’ve bought?",04/29/2024 12:36 PM,False,453,42,217
150,Crypto Rover,"This week will be a big week for #Bitcoin.  24 hours left before the Hong Kong Spot $BTC ETF will launch.  Asia loves crypto, and Billions will flow in.",04/29/2024 12:17 PM,False,987,130,224
151,Crypto Rover,"This #Bitcoin consolidation is almost over.   Get ready for the next move, it won't take long now.",04/29/2024 11:46 AM,False,1320,223,183
152,Crypto Rover,Will history repeat itself again on #Ethereum?,04/29/2024 11:10 AM,False,744,126,209
153,Crypto Rover,"Whenever this #Bitcoin bull flag breaks out, we will go straight to $100k.",04/29/2024 10:27 AM,False,1399,267,277
154,Crypto Rover,"I just bought $5,000 worth of $BUNA and will buy more once it surpasses $20m in mc.  95% of all the tokens sent will go to a dead address, team is doxxed and socials are good!  Make sure to always DYOR.  CA: DszZJVg61XwJKMte2UoQyMrYvhNvi2PWxoBV6jh8ogdZ",04/29/2024 10:01 AM,False,1779,1350,1146
155,Crypto Rover,"In 27 days, the Spot #Ethereum ETF final deadline is here.  Will it be accepted?",04/29/2024 09:49 AM,False,717,124,273
156,Crypto Rover,"Claim a $200 #Bitcoin or #Ethereum Trade on Bybit!  How to claim: • Sign up a new account using the link below • Deposit $100 within 7 days • Open up your free trade  🔸 Link: https://bybit.com/en/airdrop-activity-new?campaign_id=7717&affiliate_id=16210  + You are also eligible for a $40,000 deposit bonus using this link.",04/29/2024 09:18 AM,False,245,50,95
157,Crypto Rover,Negative funding rates in a #Bitcoin bull market only mean 1 thing.  We are going higher.,04/29/2024 08:53 AM,False,624,120,186
158,Crypto Rover,"There will be more than $2.2b worth of #Bitcoin Short liquidations if $BTC hits $67,400.",04/29/2024 08:12 AM,False,914,176,273
159,Crypto Rover,$WUF IS THE FIRST MEMECOIN THAT IS GOING TRUELY MULTICHAIN!!  THIS IS HUGE 🚀,04/29/2024 07:50 AM,False,521,139,156
160,Crypto Rover,💥BREAKING: The Hong Kong Spot #Bitcoin ETF is launching tomorrow!,04/29/2024 07:28 AM,False,2145,475,447
161,Crypto Rover,"If #Bitcoin comes back into the orange box, I will open a $1m $BTC long position!",04/29/2024 06:56 AM,False,649,111,187
162,Crypto Rover,"The #Bitcoin funding rates are negative, and that is why I am bullish.",04/29/2024 06:26 AM,False,1413,220,339
163,Crypto Rover,"There is nothing to worry about, this #Bitcoin falling wedge is still in play.",04/29/2024 05:51 AM,False,564,94,173
164,Crypto Rover,#Bitcoin is BREAKING DOWN!  All price targets are discussed in my pinned tweet!,04/29/2024 05:32 AM,False,1592,162,282
165,Crypto Rover,#BITCOIN BREAKING DOWN!! [shocking targets]  Watch NOW:👇 https://piped.video/lAc916OKUJU,04/29/2024 05:20 AM,False,336,74,129
166,Crypto Rover,#Bitcoin Transaction fees are dropping significantly!,04/28/2024 07:58 PM,False,786,75,136
167,Crypto Rover,I think this is about to happen next to #Bitcoin,04/28/2024 07:22 PM,False,1074,168,233
168,Crypto Rover,An #Ethereum transaction costs $0.42 on average.  Bottom signal flashing!,04/28/2024 06:41 PM,False,354,42,165
169,Crypto Rover,#Bitcoin calm before the storm...,04/28/2024 06:02 PM,False,1050,170,266
170,Crypto Rover,The #Bitcoin price is exactly hovering around the CME close price! 🔥👇,04/28/2024 05:25 PM,False,513,69,145
171,Crypto Rover,A $7 billion #Bitcoin short squeeze is imminent.,04/28/2024 05:12 PM,False,862,86,166
172,Crypto Rover,"As long as #Bitcoin doesn't break this trend,   there is nothing to worry about.",04/28/2024 04:27 PM,False,900,158,239
173,Crypto Rover,The next #Bitcoin bull market is not far away now...,04/28/2024 03:48 PM,False,873,88,231
174,Crypto Rover,💥BREAKING: #Bitcoin is about to create a bearish cross on the Weekly MACD for the first time in 27 weeks...,04/28/2024 03:11 PM,False,1386,179,304
175,Crypto Rover,"Whenever this #Bitcoin bull flag breaks out, the bull market will officially start.",04/28/2024 02:39 PM,False,879,138,207
